epoch,KF_E_m,KF_N_m,KF_U_m,KF_nobias_E_m,KF_nobias_N_m,KF_nobias_U_m,Single_E_m,Single_N_m,Single_U_m,C1_sat_count,C2_sat_count,L1_sat_count,L2_sat_count,ref_sat,condition,block_mode,R_diff_diag_coeff,R_diff_offdiag_coeff
108,-1.59902038779431,0.0883515887412647,0.0278400902681055,-1.4957605423117,0.430688688186727,-0.379950003417631,-1.6854042858565,0.565747630163406,-1.21212105340499,8,8,8,8,23,normal,sector,4,2
109,-1.60529546865655,0.0872129892186821,0.0325393445384557,-1.50107951349353,0.432719876621972,-0.379026583348074,-1.68611092987071,0.566899397748982,-1.06945323971852,8,8,8,8,23,normal,sector,4,2
110,-1.61715189465185,0.0863478272109541,0.0366265865682268,-1.51197982980844,0.435024502572073,-0.378715175519097,-1.71055604950496,0.43631510481228,-0.959754012620738,8,8,8,8,23,normal,sector,4,2
111,-1.62638398238698,0.085100400892969,0.0385342400213757,-1.52025580786317,0.436946864211916,-0.380583356266742,-1.74871849462843,0.315011537765163,-0.911768059396385,8,8,8,8,23,normal,sector,4,2
112,-1.63648307557268,0.0842239072735819,0.0397828810747427,-1.52939879136848,0.439240158550357,-0.383110549414169,-1.75023359441889,0.281576551491269,-0.902677584400812,8,8,8,8,23,normal,sector,4,2
113,-1.64722607528584,0.0827176293709185,0.0433731964247411,-1.53918568140125,0.440903668605522,-0.383296068264964,-1.76029756096435,0.223469401205225,-0.85714038865456,8,8,8,8,23,normal,sector,4,2
114,-1.65516538814904,0.0822525556538312,0.0463059115404137,-1.54616888458405,0.443608382846263,-0.384139187350086,-1.75478837417854,0.173809538087237,-0.929416101737242,8,8,8,8,23,normal,sector,4,2
115,-1.66361573819871,0.0824357980549762,0.0486976659443175,-1.55366312495333,0.446961413205237,-0.385523267146976,-1.7029267966627,0.217401468345197,-1.03561579577318,8,8,8,8,23,normal,sector,4,2
116,-1.66963401061589,0.0814337153173351,0.0487477044771314,-1.55872528769012,0.449129118425424,-0.389249062814956,-1.67781595857125,0.296116231657679,-1.21904145435201,8,8,8,8,23,normal,sector,4,2
117,-1.67283337348519,0.0814657780130433,0.0467838408607838,-1.56096854087902,0.45233096907896,-0.394988760632097,-1.70951743513719,0.28501104006298,-1.25436627937666,8,8,8,8,23,normal,sector,4,2
118,-1.68598478254008,0.0826139435875964,0.0447538329898154,-1.57316384025352,0.456648922611342,-0.400794602703859,-1.69937635479825,0.256932087689304,-1.28895103959889,8,8,8,8,23,normal,sector,4,2
119,-1.6961049561959,0.0828590332125855,0.0425045659909158,-1.58232790422895,0.460063800194159,-0.406819703903553,-1.79780743759309,0.178854244825557,-1.11213659549963,8,8,8,8,23,normal,sector,4,2
120,-1.70308230578376,0.0840141857440757,0.0412814424818042,-1.58834914413641,0.464388740683478,-0.411818661613458,-1.81396677796668,0.093525416435568,-0.847727519087433,8,8,8,8,23,normal,sector,4,2
121,-1.71418380239038,0.0860950957460475,0.0383062949180708,-1.59849453106263,0.469639438643278,-0.418569643377985,-1.88927631840951,0.0426729943151777,-0.612839732282263,8,8,8,8,23,normal,sector,4,2
122,-1.7268495948055,0.0871415493221349,0.0391094883160283,-1.61020421379736,0.473855680177194,-0.421542284180822,-1.81576988008007,0.0380136128727741,-0.304918818089339,8,8,8,8,23,normal,sector,4,2
123,-1.74459299803938,0.087313544635812,0.0401570855381629,-1.62699150735084,0.477197463448699,-0.424270521159481,-1.73707317519601,0.0634942339851472,-0.205081887761947,8,8,8,8,23,normal,sector,4,2
124,-1.75957319604241,0.0874713361316948,0.0431291780173388,-1.64101559567348,0.48052504290241,-0.425074262881099,-1.65725792378214,0.0968416817879206,-0.302315250778801,8,8,8,8,23,normal,sector,4,2
125,-1.7698163006002,0.0885968040821504,0.0443720726905994,-1.65030259055088,0.484820298810694,-0.427607202408632,-1.54262895339614,0.152235010258669,-0.404579465502242,8,8,8,8,23,normal,sector,4,2
126,-1.78250510548916,0.0892656618420332,0.0431236699043651,-1.66203528575944,0.488658944528405,-0.432631439395661,-1.50588311762397,0.198045251804333,-0.480728337763649,8,8,8,8,23,normal,sector,4,2
127,-1.7934652439977,0.0915792498570298,0.0400947410908443,-1.67203931458759,0.49414232050123,-0.439436202409975,-1.48175429263976,0.276827883661709,-0.518595554079043,8,8,8,8,23,normal,sector,4,2
128,-1.80509362358836,0.0948640779608446,0.0397729491558634,-1.68271158449785,0.500596936562873,-0.44353382854575,-1.63557741225454,0.246652285893194,-0.300782833337944,8,8,8,8,23,normal,sector,4,2
129,-1.81746862833943,0.0955358567532749,0.0391775797416689,-1.69413047956852,0.504438503313132,-0.447905032160738,-1.62687235683499,0.231161978242408,-0.236687706124867,8,8,8,8,23,normal,sector,4,2
130,-1.82652329249939,0.0965870990552858,0.0378047952883179,-1.70222903404809,0.508659533572971,-0.453053650814883,-1.70605362154786,0.084271953081794,0.103368898177568,8,8,8,8,23,normal,sector,4,2
131,-1.8379153210951,0.0958685285895054,0.0381845009638001,-1.71266495296341,0.511110751065019,-0.456449779340195,-1.71616260342436,0.0843012042893957,-0.104034223691786,8,8,8,8,23,normal,sector,4,2
